ID,Date,Close
805,1.07.2015,135.55
806,30.06.2015,132.2
807,29.06.2015,129.55
808,26.06.2015,133.85
809,25.06.2015,135.7
810,24.06.2015,133.2
811,23.06.2015,133.85
812,22.06.2015,135
813,19.06.2015,133.75
814,18.06.2015,132.6
815,17.06.2015,132.35
816,16.06.2015,128.7
817,15.06.2015,129.1
818,12.06.2015,128.15
819,11.06.2015,134.4
820,10.06.2015,136.6
821,9.06.2015,137.55
822,8.06.2015,134.85
823,5.06.2015,138.5
824,4.06.2015,137.75
825,3.06.2015,137.35
826,2.06.2015,140.8
827,1.06.2015,145.15
828,29.05.2015,146.25
829,28.05.2015,144.9
830,27.05.2015,148.7
831,26.05.2015,148.8
832,25.05.2015,147.45
833,22.05.2015,147.95
834,21.05.2015,146.65
835,20.05.2015,145.95
836,19.05.2015,147.55
837,18.05.2015,147.95
838,15.05.2015,147.4
839,14.05.2015,146.3
840,13.05.2015,144.55
841,12.05.2015,142.85
842,11.05.2015,143.35
843,8.05.2015,141.05
844,7.05.2015,137.75
845,6.05.2015,139.8
846,5.05.2015,144.55
847,4.05.2015,143.55
848,30.04.2015,142.1
849,29.04.2015,142.55
850,28.04.2015,141.95
851,27.04.2015,142.15
852,24.04.2015,147.25
853,23.04.2015,150.2
854,22.04.2015,149.65
855,21.04.2015,150.2
856,20.04.2015,153.25
857,17.04.2015,157.55
858,16.04.2015,159.3
859,15.04.2015,158.95
860,13.04.2015,161.5
861,10.04.2015,161.2
862,9.04.2015,152.05
863,8.04.2015,151.6
864,7.04.2015,151.1
865,6.04.2015,151.45
866,1.04.2015,151.1
867,31.03.2015,148.8
868,30.03.2015,149.75
869,27.03.2015,145.75
870,26.03.2015,147.3
871,25.03.2015,149
872,24.03.2015,147.95
873,23.03.2015,147.2
874,20.03.2015,149.95
875,19.03.2015,153.85
876,18.03.2015,155.85
877,17.03.2015,156.7
878,16.03.2015,154.75
879,13.03.2015,154.85
880,12.03.2015,160
881,11.03.2015,157.85
882,10.03.2015,157.25
883,9.03.2015,159.05
884,5.03.2015,159.3
885,4.03.2015,158.35
886,3.03.2015,163.55
887,2.03.2015,158.35
888,28.02.2015,154.9
889,27.02.2015,156.05
890,26.02.2015,152.55
891,25.02.2015,153.5
892,24.02.2015,155.55
893,23.02.2015,155.95
894,20.02.2015,159.7
895,19.02.2015,157
896,18.02.2015,156.85
897,16.02.2015,155.15
898,13.02.2015,157.4
899,12.02.2015,155.2
900,11.02.2015,154.35
901,10.02.2015,151.55
902,9.02.2015,149.55
903,6.02.2015,152.4
904,5.02.2015,154.75
905,4.02.2015,158.55
906,3.02.2015,160.45
907,2.02.2015,163.6
908,30.01.2015,158.7
909,29.01.2015,158.25
910,28.01.2015,158.75
911,27.01.2015,159.4
912,23.01.2015,161.15
913,22.01.2015,158.85
914,21.01.2015,158
915,20.01.2015,156.35
916,19.01.2015,156.55
917,16.01.2015,154.3
918,15.01.2015,155.65
919,14.01.2015,154.85
920,13.01.2015,155.25
921,12.01.2015,157.35
922,9.01.2015,155.6
923,8.01.2015,153.7
924,7.01.2015,148.45
925,6.01.2015,148.15
926,5.01.2015,152.95
927,2.01.2015,152.5
928,1.01.2015,150.7
